id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
lv,meet,i,en,541.42,1277.41,641.08,718.92,551.82,386.96,535.91,513.51,1300.88,1148.77,1227.47,1364.81,1345.12
lv,beat,i,en,1032.09,2120.75,1731.96,208.19,1166.16,1362.16,1231.68,1192.25,1383.26,2178.06,2361.47,2307.16,2373.81
lv,feet,i,en,551.16,1457.44,822.12,464.49,540.33,588.72,582.06,580.19,1007.57,1212.38,1497.38,1757.99,1811.90
lv,seat,i,en,755.07,1753.94,2177.70,466.91,764.18,808.79,442.67,1292.78,1632.88,1535.84,1980.55,1638.39,1982.05
lv,heat,i,en,1018.69,2045.48,1352.25,1545.80,1294.40,1092.40,658.01,502.85,2216.38,2249.08,2321.66,1753.21,1687.08
lv,fleet,i,en,474.92,1577.76,796.27,526.89,521.88,499.65,510.24,315.96,1367.81,1730.37,1740.23,1653.71,1396.69
lv,moss,a,en,917.06,1956.77,4485.14,1399.44,263.11,1339.50,507.08,1076.15,2262.94,1480.22,2179.31,1631.71,2229.65
lv,bot,a,en,405.47,1457.77,906.30,428.89,395.93,402.73,396.14,403.66,1854.10,1462.56,1182.86,1373.63,1415.68
lv,fought,a,en,431.03,1026.25,903.69,427.64,400.60,426.17,442.77,457.96,1118.37,1357.98,835.65,930.12,889.15
lv,sought,a,en,499.58,1230.94,907.18,468.93,523.66,526.22,485.10,494.01,832.59,1017.33,1152.47,1423.73,1728.59
lv,caught,a,en,419.23,802.63,563.94,386.77,398.71,407.06,427.83,475.76,999.14,828.84,908.72,650.34,626.11
lv,brought,a,en,328.84,1791.68,1774.39,414.20,383.88,239.10,237.57,369.45,2169.36,1230.17,1797.86,1783.56,1977.45
lv,moot,u,en,1148.74,2185.54,1834.40,1125.78,1227.23,1365.08,751.19,1274.42,2164.41,2301.77,2381.97,1825.88,2253.66
lv,boot,u,en,535.57,1041.76,510.89,468.09,504.13,529.44,578.31,597.90,831.17,961.93,1011.99,1087.79,1315.91
lv,food,u,en,506.10,1513.55,921.35,615.45,568.11,508.51,477.79,360.61,1254.87,1469.19,1663.38,1773.30,1406.98
lv,sought,u,en,400.26,1413.05,339.74,422.15,417.39,404.40,421.63,335.75,1394.23,1397.07,1318.78,1485.44,1469.74
lv,cooed,u,en,466.59,1137.15,353.92,441.45,448.40,473.49,490.17,479.45,1011.45,1038.62,1061.51,1222.09,1352.11
lv,dude,u,en,555.62,1312.72,710.54,517.24,589.95,573.46,566.72,530.70,1008.45,1063.98,1330.55,1481.49,1679.12
lv,mis,i,sp,633.51,1539.05,2538.35,1211.62,187.52,303.85,411.48,1053.09,2360.64,1223.05,1262.88,1472.75,1375.96
lv,bis,i,sp,664.76,1367.27,412.59,754.70,815.38,594.51,561.05,598.14,1351.88,1399.45,1322.25,1372.24,1390.55
lv,pis,i,sp,603.12,1483.22,1276.91,678.45,619.58,492.21,548.02,677.34,1841.50,1322.16,1159.73,1422.80,1669.93
lv,cito,i,sp,707.53,1457.14,965.39,493.55,650.73,791.08,872.62,729.65,1818.78,1677.73,1322.29,1166.35,1300.55
lv,fito,i,sp,652.24,1448.13,2193.40,619.20,578.14,798.66,748.22,516.97,1565.98,1225.00,1692.48,1917.54,839.64
lv,quito,i,sp,1300.94,1940.39,2120.90,1228.84,1443.17,966.09,1390.47,1476.15,2226.23,1529.92,1950.36,1844.09,2151.32
lv,mas,a,sp,1218.41,2085.05,1888.89,1192.32,950.19,1217.26,1606.26,1126.03,2171.63,1778.83,2068.68,2343.94,2062.15
lv,vas,a,sp,612.45,1322.48,1673.71,338.57,597.58,819.83,724.84,581.41,863.65,1657.94,1245.33,1443.86,1401.64
lv,pasa,a,sp,739.10,1589.51,565.92,601.55,742.56,860.02,753.27,738.09,1784.81,1756.41,1572.78,1424.06,1409.51
lv,sala,a,sp,517.75,1492.65,917.51,435.02,408.76,467.79,630.87,646.31,1286.08,1500.33,1729.37,1602.86,1344.59
lv,fama,a,sp,574.44,1740.75,521.46,414.37,401.28,553.59,682.19,820.76,1744.25,1767.03,1796.01,1777.26,1619.22
lv,cama,a,sp,559.71,1453.83,1952.54,566.49,721.88,560.20,486.65,463.34,1535.06,1727.48,1699.18,823.01,1484.42
lv,musa,u,sp,569.30,1458.07,622.42,690.57,555.12,573.12,518.07,509.64,1384.03,1299.26,1384.25,1477.93,1744.89
lv,bulto,u,sp,484.43,1803.61,301.42,417.21,411.05,407.74,542.22,643.91,1831.58,1783.15,1783.51,1827.66,1792.12
lv,puso,u,sp,818.13,1549.98,612.36,826.61,914.99,879.96,810.41,658.67,1746.84,1714.35,1465.04,1385.39,1438.28
lv,supo,u,sp,822.71,1705.27,286.11,732.96,820.27,869.81,878.88,811.64,1768.51,1743.19,1714.23,1700.93,1599.47
lv,fumo,u,sp,483.48,1797.32,365.64,481.48,403.57,401.18,456.05,675.11,1770.31,1782.80,1787.18,1816.70,1829.62
lv,cura,u,sp,478.01,1641.28,439.06,412.38,407.56,408.29,530.18,631.63,1563.20,1598.35,1716.66,1622.47,1705.72
